"DATE","count"
2016-09-23,30
2016-09-24,30
2016-09-25,34
2016-09-26,33
2016-09-27,40
2016-09-28,29
2016-09-29,29
2016-09-30,23
2016-10-01,17
2016-10-02,28
2016-10-03,31
2016-10-04,38
2016-10-05,38
2016-10-06,32
2016-10-07,28
2016-10-08,30
2016-10-09,49
2016-10-10,45
2016-10-11,32
2016-10-12,26
2016-10-13,33
2016-10-14,35
2016-10-15,27
2016-10-16,37
2016-10-17,40
2016-10-18,41
2016-10-19,32
2016-10-20,44
2016-10-21,26
2016-10-22,22
2016-10-23,22
2016-10-24,34
2016-10-25,32
2016-10-26,34
2016-10-27,23
2016-10-28,36
2016-10-29,24
2016-10-30,18
2016-10-31,21
2016-11-01,20
2016-11-02,32
2016-11-03,32
2016-11-04,20
2016-11-05,18
2016-11-06,39
2016-11-07,27
2016-11-08,32
2016-11-09,28
2016-11-10,19
2016-11-11,22
2016-11-12,28
2016-11-13,31
2016-11-14,30
2016-11-15,27
2016-11-16,18
2016-11-17,36
2016-11-18,37
2016-11-19,20
2016-11-20,32
2016-11-21,27
2016-11-22,20
2016-11-23,29
2016-11-24,28
2016-11-25,34
2016-11-26,38
2016-11-27,39
2016-11-28,33
2016-11-29,26
2016-11-30,39
2016-12-01,25
2016-12-02,27
2016-12-03,41
2016-12-04,34
2016-12-05,31
2016-12-06,31
2016-12-07,46
2016-12-08,46
2016-12-09,34
2016-12-10,27
2016-12-11,25
2016-12-12,19
2016-12-13,35
2016-12-14,26
2016-12-15,27
2016-12-16,30
2016-12-17,18
2016-12-18,19
2016-12-19,24
2016-12-20,27
2016-12-21,30
2016-12-22,22
2016-12-23,20
2016-12-24,32
2016-12-25,15
2016-12-26,14
2016-12-27,37
2016-12-28,19
2016-12-29,14
2016-12-30,12
2016-12-31,16
2017-01-01,12
2017-01-02,18
2017-01-03,25
2017-01-04,16
2017-01-05,25
2017-01-06,17
2017-01-07,23
2017-01-08,19
2017-01-09,21
2017-01-10,25
2017-01-11,17
2017-01-12,23
2017-01-13,25
2017-01-14,21
2017-01-15,24
2017-01-16,22
2017-01-17,22
2017-01-18,19
2017-01-19,29
2017-01-20,25
2017-01-21,35
2017-01-22,26
2017-01-23,30
2017-01-24,19
2017-01-25,14
2017-01-26,25
2017-01-27,22
2017-01-28,32
2017-01-29,19
2017-01-30,27
2017-01-31,11
2017-02-01,21
2017-02-02,22
2017-02-03,28
2017-02-04,12
2017-02-05,22
2017-02-06,19
2017-02-07,14
2017-02-08,26
2017-02-09,27
