"DATE","count"
2016-04-07,97
2016-04-08,85
2016-04-09,78
2016-04-10,68
2016-04-11,101
2016-04-12,95
2016-04-13,91
2016-04-14,81
2016-04-15,93
2016-04-16,78
2016-04-17,72
2016-04-18,111
2016-04-19,104
2016-04-20,89
2016-04-21,106
2016-04-22,108
2016-04-23,101
2016-04-24,74
2016-04-25,109
2016-04-26,102
2016-04-27,98
2016-04-28,85
2016-04-29,81
2016-04-30,61
2016-05-01,72
2016-05-02,76
2016-05-03,101
2016-05-04,92
2016-05-05,104
2016-05-06,101
2016-05-07,94
2016-05-08,90
2016-05-09,102
2016-05-10,98
2016-05-11,92
2016-05-12,87
2016-05-13,95
2016-05-14,78
2016-05-15,91
2016-05-16,94
2016-05-17,82
2016-05-18,110
2016-05-19,83
2016-05-20,85
2016-05-21,82
2016-05-22,81
2016-05-23,87
2016-05-24,96
2016-05-25,79
2016-05-26,83
2016-05-27,91
2016-05-28,69
2016-05-29,75
2016-05-30,115
2016-05-31,87
2016-06-01,82
2016-06-02,75
2016-06-03,101
2016-06-04,72
2016-06-05,85
2016-06-06,98
2016-06-07,92
2016-06-08,129
2016-06-09,94
2016-06-10,92
2016-06-11,92
2016-06-12,93
2016-06-13,119
2016-06-14,95
2016-06-15,94
2016-06-16,102
2016-06-17,108
2016-06-18,104
2016-06-19,87
2016-06-20,129
2016-06-21,93
2016-06-22,105
2016-06-23,92
2016-06-24,66
2016-06-25,71
2016-06-26,104
2016-06-27,108
2016-06-28,103
2016-06-29,102
2016-06-30,96
2016-07-01,98
2016-07-02,89
2016-07-03,95
2016-07-04,137
2016-07-05,121
2016-07-06,106
2016-07-07,119
2016-07-08,105
2016-07-09,80
2016-07-10,95
2016-07-11,129
2016-07-12,101
2016-07-13,108
2016-07-14,106
2016-07-15,106
2016-07-16,69
2016-07-17,95
2016-07-18,114
2016-07-19,106
2016-07-20,98
2016-07-21,99
2016-07-22,90
2016-07-23,80
2016-07-24,80
2016-07-25,100
2016-07-26,81
2016-07-27,97
2016-07-28,88
2016-07-29,94
2016-07-30,58
2016-07-31,91
2016-08-01,83
2016-08-02,72
2016-08-03,89
2016-08-04,108
2016-08-05,91
2016-08-06,73
2016-08-07,83
2016-08-08,110
2016-08-09,86
2016-08-10,103
2016-08-11,110
2016-08-12,93
2016-08-13,111
2016-08-14,104
2016-08-15,126
2016-08-16,96
2016-08-17,140
2016-08-18,96
2016-08-19,112
2016-08-20,80
2016-08-21,109
2016-08-22,126
2016-08-23,108
2016-08-24,109
2016-08-25,97
2016-08-26,104
2016-08-27,102
2016-08-28,94
2016-08-29,122
2016-08-30,107
2016-08-31,107
2016-09-01,97
2016-09-02,99
2016-09-03,82
2016-09-04,80
2016-09-05,87
2016-09-06,127
2016-09-07,87
2016-09-08,110
2016-09-09,89
2016-09-10,94
2016-09-11,92
2016-09-12,103
2016-09-13,105
2016-09-14,98
2016-09-15,93
2016-09-16,105
2016-09-17,84
2016-09-18,87
2016-09-19,120
2016-09-20,88
2016-09-21,100
2016-09-22,120
2016-09-23,107
2016-09-24,102
2016-09-25,78
2016-09-26,109
2016-09-27,129
2016-09-28,99
2016-09-29,89
2016-09-30,86
2016-10-01,68
2016-10-02,87
2016-10-03,99
2016-10-04,118
2016-10-05,111
2016-10-06,100
2016-10-07,98
2016-10-08,101
2016-10-09,119
2016-10-10,119
2016-10-11,96
2016-10-12,92
2016-10-13,101
2016-10-14,102
2016-10-15,94
2016-10-16,112
2016-10-17,129
2016-10-18,103
2016-10-19,105
2016-10-20,126
2016-10-21,105
2016-10-22,83
2016-10-23,77
2016-10-24,119
2016-10-25,104
2016-10-26,110
2016-10-27,97
2016-10-28,92
2016-10-29,93
2016-10-30,103
2016-10-31,107
2016-11-01,93
2016-11-02,100
2016-11-03,111
2016-11-04,112
2016-11-05,80
2016-11-06,99
2016-11-07,105
2016-11-08,96
2016-11-09,103
2016-11-10,90
2016-11-11,89
2016-11-12,102
2016-11-13,84
2016-11-14,117
2016-11-15,108
2016-11-16,90
2016-11-17,103
2016-11-18,90
2016-11-19,82
2016-11-20,85
2016-11-21,69
2016-11-22,80
2016-11-23,95
2016-11-24,85
2016-11-25,93
2016-11-26,101
2016-11-27,103
2016-11-28,119
2016-11-29,101
2016-11-30,114
2016-12-01,93
2016-12-02,86
2016-12-03,97
2016-12-04,106
2016-12-05,106
2016-12-06,82
2016-12-07,116
2016-12-08,117
2016-12-09,102
2016-12-10,83
2016-12-11,86
2016-12-12,85
2016-12-13,97
2016-12-14,118
2016-12-15,89
2016-12-16,97
2016-12-17,79
2016-12-18,74
2016-12-19,98
2016-12-20,82
2016-12-21,96
2016-12-22,71
2016-12-23,81
2016-12-24,82
2016-12-25,56
2016-12-26,58
2016-12-27,94
2016-12-28,88
2016-12-29,65
2016-12-30,61
2016-12-31,56
2017-01-01,77
2017-01-02,88
2017-01-03,87
2017-01-04,62
2017-01-05,93
2017-01-06,68
2017-01-07,80
2017-01-08,69
2017-01-09,87
2017-01-10,77
2017-01-11,81
2017-01-12,94
2017-01-13,108
2017-01-14,78
2017-01-15,78
2017-01-16,86
2017-01-17,111
2017-01-18,90
2017-01-19,103
2017-01-20,101
2017-01-21,88
2017-01-22,76
2017-01-23,95
2017-01-24,93
2017-01-25,79
2017-01-26,87
2017-01-27,92
2017-01-28,108
2017-01-29,71
2017-01-30,97
2017-01-31,45
2017-02-01,77
2017-02-02,68
2017-02-03,96
2017-02-04,55
2017-02-05,81
2017-02-06,66
2017-02-07,74
2017-02-08,80
2017-02-09,87
2017-02-10,72
2017-02-11,75
2017-02-12,73
2017-02-13,64
2017-02-14,72
2017-02-15,73
2017-02-16,70
2017-02-17,91
2017-02-18,79
2017-02-19,77
2017-02-20,107
2017-02-21,84
2017-02-22,86
2017-02-23,100
2017-02-24,121
2017-02-25,81
2017-02-26,88
2017-02-27,113
2017-02-28,68
2017-03-01,73
2017-03-02,80
2017-03-03,73
2017-03-04,42
2017-03-05,60
2017-03-06,83
2017-03-07,87
2017-03-08,104
2017-03-09,103
2017-03-10,105
2017-03-11,85
2017-03-12,74
2017-03-13,70
2017-03-14,76
2017-03-15,57
2017-03-16,54
2017-03-17,88
2017-03-18,82
2017-03-19,65
2017-03-20,121
2017-03-21,88
2017-03-22,95
2017-03-23,105
2017-03-24,82
2017-03-25,78
2017-03-26,76
2017-03-27,110
2017-03-28,107
2017-03-29,113
2017-03-30,85
2017-03-31,89
2017-04-01,76
2017-04-02,85
2017-04-03,99
2017-04-04,101
2017-04-05,101
2017-04-06,86
2017-04-07,81
2017-04-08,73
2017-04-09,78
2017-04-10,97
2017-04-11,101
2017-04-12,92
2017-04-13,96
2017-04-14,94
2017-04-15,87
2017-04-16,67
2017-04-17,97
2017-04-18,98
2017-04-19,67
2017-04-20,111
2017-04-21,110
2017-04-22,97
2017-04-23,63
2017-04-24,84
2017-04-25,89
2017-04-26,92
2017-04-27,116
2017-04-28,79
2017-04-29,72
2017-04-30,67
2017-05-01,91
2017-05-02,78
2017-05-03,86
2017-05-04,98
2017-05-05,71
2017-05-06,74
2017-05-07,73
2017-05-08,86
2017-05-09,74
2017-05-10,89
2017-05-11,79
2017-05-12,89
2017-05-13,90
2017-05-14,75
2017-05-15,82
2017-05-16,85
2017-05-17,88
2017-05-18,89
2017-05-19,97
2017-05-20,86
2017-05-21,87
2017-05-22,76
2017-05-23,89
2017-05-24,94
2017-05-25,93
2017-05-26,84
2017-05-27,78
2017-05-28,67
2017-05-29,114
2017-05-30,84
2017-05-31,99
2017-06-01,88
2017-06-02,86
2017-06-03,88
2017-06-04,73
2017-06-05,100
2017-06-06,108
2017-06-07,115
2017-06-08,88
2017-06-09,101
2017-06-10,72
2017-06-11,91
2017-06-12,108
2017-06-13,102
2017-06-14,107
2017-06-15,108
2017-06-16,99
2017-06-17,83
2017-06-18,89
2017-06-19,104
2017-06-20,104
2017-06-21,109
2017-06-22,79
2017-06-23,101
2017-06-24,75
2017-06-25,60
2017-06-26,83
2017-06-27,87
2017-06-28,99
2017-06-29,99
2017-06-30,93
2017-07-01,84
2017-07-02,94
2017-07-03,104
2017-07-04,105
2017-07-05,102
2017-07-06,86
2017-07-07,87
2017-07-08,70
2017-07-09,99
2017-07-10,104
2017-07-11,119
2017-07-12,113
2017-07-13,85
2017-07-14,76
2017-07-15,81
2017-07-16,77
2017-07-17,119
2017-07-18,113
2017-07-19,97
2017-07-20,103
2017-07-21,124
2017-07-22,76
2017-07-23,80
2017-07-24,103
2017-07-25,104
2017-07-26,109
2017-07-27,97
2017-07-28,76
2017-07-29,73
2017-07-30,86
2017-07-31,93
2017-08-01,81
2017-08-02,81
2017-08-03,81
2017-08-04,93
2017-08-05,67
2017-08-06,90
2017-08-07,123
2017-08-08,100
2017-08-09,121
2017-08-10,112
2017-08-11,92
2017-08-12,80
2017-08-13,110
2017-08-14,136
2017-08-15,106
2017-08-16,99
2017-08-17,108
2017-08-18,100
2017-08-19,87
2017-08-20,102
2017-08-21,120
2017-08-22,112
2017-08-23,135
2017-08-24,125
2017-08-25,99
2017-08-26,70
2017-08-27,84
2017-08-28,134
2017-08-29,115
2017-08-30,88
2017-08-31,86
2017-09-01,87
2017-09-02,55
2017-09-03,73
2017-09-04,107
2017-09-05,152
2017-09-06,66
2017-09-07,103
2017-09-08,84
2017-09-09,76
2017-09-10,101
2017-09-11,105
2017-09-12,109
2017-09-13,91
2017-09-14,98
2017-09-15,89
2017-09-16,75
2017-09-17,78
2017-09-18,113
2017-09-19,92
2017-09-20,111
2017-09-21,104
2017-09-22,92
2017-09-23,77
2017-09-24,81
2017-09-25,106
2017-09-26,113
2017-09-27,103
2017-09-28,89
2017-09-29,76
2017-09-30,69
2017-10-01,86
2017-10-02,78
2017-10-03,81
2017-10-04,116
2017-10-05,96
2017-10-06,107
2017-10-07,81
2017-10-08,64
2017-10-09,93
2017-10-10,112
2017-10-11,115
2017-10-12,103
2017-10-13,89
2017-10-14,78
2017-10-15,98
2017-10-16,105
2017-10-17,90
2017-10-18,113
2017-10-19,101
2017-10-20,83
2017-10-21,88
2017-10-22,112
2017-10-23,99
2017-10-24,107
2017-10-25,102
2017-10-26,81
2017-10-27,119
2017-10-28,92
2017-10-29,96
2017-10-30,114
2017-10-31,119
2017-11-01,98
2017-11-02,95
2017-11-03,105
2017-11-04,79
2017-11-05,75
2017-11-06,95
2017-11-07,90
2017-11-08,114
2017-11-09,101
2017-11-10,90
2017-11-11,116
2017-11-12,97
2017-11-13,106
2017-11-14,93
2017-11-15,99
2017-11-16,93
2017-11-17,97
2017-11-18,72
2017-11-19,96
2017-11-20,100
2017-11-21,103
2017-11-22,104
2017-11-23,101
2017-11-24,107
2017-11-25,80
2017-11-26,72
2017-11-27,115
2017-11-28,100
2017-11-29,89
2017-11-30,87
2017-12-01,84
2017-12-02,85
2017-12-03,71
2017-12-04,125
2017-12-05,118
2017-12-06,82
2017-12-07,91
2017-12-08,112
2017-12-09,88
2017-12-10,68
2017-12-11,94
2017-12-12,62
2017-12-13,81
2017-12-14,81
2017-12-15,94
2017-12-16,64
2017-12-17,79
2017-12-18,79
2017-12-19,71
2017-12-20,70
2017-12-21,66
2017-12-22,79
2017-12-23,63
2017-12-24,51
2017-12-25,40
2017-12-26,44
2017-12-27,52
2017-12-28,44
2017-12-29,44
2017-12-30,63
2017-12-31,44
2018-01-01,49
2018-01-02,65
2018-01-03,62
2018-01-04,75
2018-01-05,44
2018-01-06,49
2018-01-07,47
2018-01-08,75
2018-01-09,73
2018-01-10,70
2018-01-11,108
2018-01-12,80
2018-01-13,38
2018-01-14,50
2018-01-15,67
2018-01-16,90
2018-01-17,79
2018-01-18,92
2018-01-19,88
2018-01-20,62
2018-01-21,60
2018-01-22,80
2018-01-23,63
2018-01-24,64
2018-01-25,86
2018-01-26,80
2018-01-27,59
2018-01-28,52
2018-01-29,78
2018-01-30,75
2018-01-31,72
2018-02-01,64
2018-02-02,67
2018-02-03,76
2018-02-04,52
2018-02-05,75
2018-02-06,68
2018-02-07,76
2018-02-08,79
2018-02-09,80
2018-02-10,68
2018-02-11,71
2018-02-12,78
2018-02-13,81
2018-02-14,76
2018-02-15,90
2018-02-16,76
2018-02-17,55
2018-02-18,74
2018-02-19,95
2018-02-20,88
2018-02-21,80
2018-02-22,99
2018-02-23,104
2018-02-24,75
2018-02-25,73
2018-02-26,106
2018-02-27,85
2018-02-28,75
2018-03-01,74
2018-03-02,77
2018-03-03,62
2018-03-04,65
